id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_category
22544160,Comfortable Studio Apartment!,165612495,Alexei,Bronx,Fordham,40.86665,-73.8954,Entire home/apt,80,3,26,2019-06-22,1.68,1,15,Mid-Range
32792015,Elegant and convenient access,63966717,Carol,Bronx,Fordham,40.85912,-73.89254,Private room,59,3,0,,0.0,2,0,Budget
24732974,1 bedroom (entire) apartment very spacious,186318389,Joanna,Bronx,Mount Eden,40.84059,-73.92156,Entire home/apt,150,1,4,2018-05-17,0.28,1,0,Mid-Range
23026346,"A Nice 3 Bedroom Apt in Pelham Bay, Bronx, NY.",170857849,Ziaul,Bronx,Pelham Bay,40.84934,-73.83345,Entire home/apt,119,3,28,2019-06-12,1.68,1,351,Mid-Range
16148036,Cozy bed in private living room,94536810,Belkis,Bronx,Bronxdale,40.85711,-73.86474,Private room,45,5,30,2019-05-23,0.98,2,318,Budget
6699725,Quiet room around corner fr. Subway,34914311,Sandrine,Bronx,Longwood,40.8198,-73.90341,Private room,99,1,0,,0.0,1,0,Mid-Range
36071960,"Great Apartment only $79 per night 
Great area",267710728,James,Bronx,Pelham Gardens,40.86143,-73.84573,Entire home/apt,79,2,1,2019-06-26,1.0,2,354,Budget
32636982,Spacious and family friendly location!,245369413,Jason,Bronx,Parkchester,40.83485,-73.85954,Entire home/apt,93,5,1,2019-02-26,0.23,1,306,Mid-Range
21959695,Bronx hideaway,148100571,Jenny,Bronx,Soundview,40.82739,-73.88176,Entire home/apt,50,1,0,,0.0,2,0,Budget
5288228,Sunny Room across CrotonaPark for Women Only Space,860636,Shawn(Ta),Bronx,Tremont,40.83875,-73.88728,Private room,38,3,15,2018-10-01,0.28,3,0,Budget
14917765,"Kingsbridge Heights, The Bronx, NY.",24421177,Eduardo,Bronx,Kingsbridge,40.86932,-73.90057,Private room,30,2,56,2019-06-12,1.68,1,38,Budget
6256470,The Most Affordable 3BR Apartment,17264040,Junior,Bronx,Mount Hope,40.84626,-73.90473,Entire home/apt,105,2,80,2019-06-15,1.66,2,365,Mid-Range
8518051,Cozy Living Environment,44850669,Taft,Bronx,Clason Point,40.81773,-73.86164,Entire home/apt,100,2,58,2019-07-03,1.26,1,324,Mid-Range
25996748,"Full Apartment, 1 Bedroom",18197276,Miguel,Bronx,Kingsbridge,40.88058,-73.90552,Entire home/apt,85,2,13,2019-01-01,1.05,1,0,Mid-Range
28574888,Guest Studio at Stella's place,15617507,Stella,Bronx,Morris Park,40.85105,-73.86049,Entire home/apt,60,2,20,2019-05-19,2.29,3,208,Budget
24886110,Spacious Apartment Steps Away from Yankee Stadium,6762900,Ashley,Bronx,Highbridge,40.83088,-73.92779,Entire home/apt,103,2,40,2019-06-30,2.84,1,248,Mid-Range
3400359,Awesome Deal NYC,16286162,Pat,Bronx,Allerton,40.86677,-73.85938,Private room,49,2,114,2019-06-29,1.87,4,240,Budget
24821651,Hiéroglyphe,187648135,Yero,Bronx,Allerton,40.86778,-73.85491,Private room,45,1,38,2019-07-01,2.7,1,85,Budget
28985543,Modern Sunny 3bdrm Apt,389924,Patty,Bronx,Morris Park,40.84605,-73.8493,Entire home/apt,39,5,0,,0.0,2,0,Budget
23018280,Cozy studio with a fireplace close to the train,10836962,Katya,Bronx,Pelham Bay,40.85407,-73.83264,Entire home/apt,69,3,69,2019-06-19,4.21,1,21,Budget
14255485,Entire One Bedroom Apartment In Historic District,5682956,Maria,Bronx,Highbridge,40.84277,-73.92588,Entire home/apt,76,7,40,2019-05-27,1.15,1,34,Budget
35614888,"Beautiful  peacefull 
Calm",267938006,Francoise X,Bronx,Concourse Village,40.82759,-73.92081,Private room,65,1,2,2019-06-23,2.0,1,364,Budget
1739847,Welcome to a beautiful Quiet Bronx.,8989844,Ronald,Bronx,Soundview,40.82138,-73.87603,Private room,45,3,53,2018-08-18,0.82,1,249,Budget
36435986,1A. Studio & Stay. 30 minutes to Midtown Manhattan,37678939,Chantal,Bronx,Concourse Village,40.83372,-73.91187,Private room,70,2,0,,0.0,2,81,Budget
6244089,Modern 3BR Brownstone Apartment,17264040,Junior,Bronx,Mount Hope,40.84819,-73.90648,Entire home/apt,125,2,41,2019-05-19,0.81,2,342,Mid-Range
30089600,Spacious Apt with Charm & Character,113569564,Talia,Bronx,Riverdale,40.88511,-73.90831,Entire home/apt,175,3,5,2019-04-08,0.77,1,0,Mid-Range
20171599,Luxury mini Suite.,740812,Monica,Bronx,Westchester Square,40.83758,-73.84382,Entire home/apt,72,2,35,2019-06-23,1.52,2,129,Budget
16337106,Charming attic Room in Home + Backyard/Near Metro,105394139,Ciprian,Bronx,Fordham,40.87093,-73.8934,Private room,58,3,84,2019-06-23,2.74,4,75,Budget
20849101,NYC private room in Private house|Mt Vernon area,149618690,Tunzil,Bronx,Wakefield,40.90356,-73.84172,Private room,59,1,11,2019-06-10,0.5,1,35,Budget
23514938,Upper Duplex w/Private Access+Bath by Yankee Stop,175583687,Quisqueya,Bronx,Highbridge,40.83593,-73.93004,Private room,80,2,29,2019-05-18,1.81,3,17,Mid-Range
25323809,New Private Cozy Condo with private bedroom & bath,61699814,Shanthi,Bronx,Kingsbridge,40.87901,-73.90155,Private room,45,30,1,2018-08-08,0.09,2,193,Budget
16186828,Cleaning,563530,Misael,Bronx,Kingsbridge,40.86352,-73.90503,Private room,80,30,0,,0.0,1,365,Mid-Range
8756017,BronxHattan,26129793,Corey,Bronx,Fordham,40.86711,-73.89525,Private room,65,1,0,,0.0,1,0,Budget
21121438,Royalty room,17766289,Kaila,Bronx,Kingsbridge,40.86924,-73.90651,Private room,40,30,4,2018-06-01,0.19,2,148,Budget
28916312,Cozy nook in Bronx 5 mins from Botanical Gardens!,99956350,Aubeen,Bronx,Fordham,40.86777,-73.88397,Private room,90,1,2,2019-01-01,0.22,1,362,Mid-Range
35384842,Artistic Private Attic w/Backyard/Near Metro,23878336,Armando,Bronx,Fordham,40.8703,-73.89313,Entire home/apt,168,3,0,,0.0,10,337,Mid-Range
33588933,No Cleaning Fee! 1.5 blocks to 2 Train. 9pm-9am,253104269,Kenneth,Bronx,Wakefield,40.89613,-73.85503,Private room,35,1,9,2019-06-27,3.18,1,0,Budget
33765725,Modern Private Bath and Furnished Room Near Train,253690060,Winston,Bronx,Pelham Gardens,40.86674,-73.8428,Private room,75,5,0,,0.0,1,188,Budget
35737107,"BEAUTIFUL MINI GYM, ELEVATOR, QUEEN SIZE BEDROOM",245781620,Amina,Bronx,Kingsbridge,40.88587,-73.89865,Private room,80,4,0,,0.0,1,87,Mid-Range
33528562,"Private, warm & inviting contemporary space.",252641467,Antoinette,Bronx,Wakefield,40.88491,-73.85484,Private room,33,1,0,,0.0,1,116,Budget
18229365,Beautiful apartment ~25min from Times Square,6358504,Yaroslav,Bronx,Mount Hope,40.84499,-73.91157,Entire home/apt,60,5,3,2018-08-21,0.13,1,0,Budget
36037506,The blue house,56602710,Auilda,Bronx,Melrose,40.82093,-73.91279,Entire home/apt,125,2,0,,0.0,1,207,Mid-Range
32343635,LARGE BEDROOM IN BRONX DOWN THE BLOCK FROM 2 TRAIN,109189054,Camille,Bronx,Wakefield,40.88805,-73.86451,Private room,65,1,0,,0.0,1,0,Budget
15845669,Beautiful Renovated Apartment NYC.,21444167,Rony,Bronx,Kingsbridge,40.88297,-73.90727,Entire home/apt,105,3,54,2019-06-24,1.68,2,278,Mid-Range
32893569,"EAST 141 FACE HARLEM
NEAR TO YANKE STADIUM",144839232,Karla,Bronx,Mott Haven,40.80981,-73.92031,Private room,39,1,9,2019-07-01,3.38,1,176,Budget
13436258,One Bedroom Apartment  in TownHouse,5944946,Nicole,Bronx,Concourse,40.81949,-73.92913,Entire home/apt,99,1,103,2019-06-18,2.87,1,264,Mid-Range
23097802,Piece Of Heaven,142447586,Winnie & Andy,Bronx,Williamsbridge,40.87906,-73.85987,Private room,35,3,0,,0.0,4,0,Budget
17045788,Cute RM in Private Home with Backyard/Near Metro,23878336,Armando,Bronx,Fordham,40.86917,-73.89465,Private room,60,3,77,2019-05-30,2.7,10,65,Budget
23859280,Travelers Cozy New York Getaway,9808458,Zain,Bronx,Kingsbridge,40.87257,-73.9009,Private room,65,1,2,2018-10-19,0.21,4,364,Budget
35496842,"Private,  cozy,  comfortable,  it feels like home",127836236,Segun,Bronx,Williamsbridge,40.88125,-73.84922,Entire home/apt,85,1,6,2019-07-04,6.0,1,362,Mid-Range
22336423,The Double U,40371157,Jimmy,Bronx,Longwood,40.82441,-73.90361,Private room,125,1,25,2018-12-09,1.34,2,0,Mid-Range
5803068,AFFORDABLE COZY PRIVATE ROOM,16151285,Carol,Bronx,Williamsbridge,40.8789,-73.84855,Private room,45,14,27,2018-01-01,0.55,4,325,Budget
26604446,Spacious and close to everything,200018869,Vivian,Bronx,Claremont Village,40.84171,-73.91159,Private room,150,1,0,,0.0,1,363,Mid-Range
31212220,AMAZING ENTIRE 1 BEDROOM APARTMENT (No hot water),233434401,Randy,Bronx,Longwood,40.82306,-73.90821,Entire home/apt,75,1,50,2019-06-23,8.11,1,359,Budget
3507112,"#1 PRIVATE STUDIO IN BX,15MINS NYC.",17658078,Richard,Bronx,Mott Haven,40.81049,-73.9043,Private room,79,2,11,2016-03-19,0.19,1,0,Budget
32448627,Lola's Casa,243766178,Lola,Bronx,Westchester Square,40.83619,-73.84916,Private room,52,4,1,2019-02-22,0.22,1,0,Budget
16511493,You Deserve The Royal Treatment.,108433379,Percy,Bronx,Norwood,40.87692,-73.87427,Entire home/apt,130,5,0,,0.0,1,89,Mid-Range
29559309,Artsy + Light. River Views. 30 min to 42nd St.,1418004,Estelle,Bronx,Highbridge,40.83217,-73.93148,Private room,45,5,15,2019-06-25,2.1,1,123,Budget
26136978,Cozy Bronx nest,196468460,German And Wendy,Bronx,Unionport,40.82848,-73.85466,Entire home/apt,85,2,68,2019-07-04,5.37,1,247,Mid-Range
21314250,5 STAR COZY ROOM,154238443,Mrs,Bronx,Belmont,40.85579,-73.88512,Private room,29,3,9,2019-06-12,0.43,2,322,Budget
19760163,Bronx Room for Rent,6843497,J.F.,Bronx,Morris Park,40.84932,-73.85883,Private room,35,3,4,2019-04-06,0.17,1,76,Budget
35368749,"Visiting New York City?
Stay in Da Bronx!",64969440,Tersila,Bronx,Pelham Gardens,40.86093,-73.85185,Entire home/apt,75,2,2,2019-07-05,2.0,1,160,Budget
858695,Very Large Private Room on quiet st,4494343,Douglas,Bronx,Mount Eden,40.84058,-73.91382,Private room,30,2,291,2019-06-20,3.69,1,208,Budget
22054258,Chambre pour couple où personne seule,161081229,Ibrahim Maiga,Bronx,Morrisania,40.82496,-73.91389,Private room,45,2,54,2019-06-23,2.94,2,313,Budget
23102299,Cloud 9,142447586,Winnie & Andy,Bronx,Williamsbridge,40.8805,-73.86178,Private room,45,1,1,2018-02-21,0.06,4,0,Budget
32782675,Clean and quite,140125433,Yany,Bronx,Williamsbridge,40.87498,-73.85644,Private room,39,3,6,2019-07-05,1.57,1,49,Budget
15336596,Private bedroom in artsy NYC apartment.,77010815,Eean,Bronx,Norwood,40.8722,-73.87607,Private room,50,3,22,2019-06-02,0.76,1,342,Budget
26810987,"Bronx Haven : Near water, accessible to transit",16997863,Tara,Bronx,Castle Hill,40.81518,-73.84758,Entire home/apt,62,3,32,2019-06-23,2.79,1,42,Budget
32611977,Mi casa es tu casa! Cozy & comfortable!,245160359,Arnol,Bronx,Belmont,40.85505,-73.89238,Private room,40,2,28,2019-07-06,6.72,1,84,Budget
20333471,★Hostel Style Room | Ideal Traveling Buddies★,131697576,Anisha,Bronx,East Morrisania,40.83296,-73.88668,Private room,0,2,55,2019-06-24,2.56,4,127,Budget
4462008,Twin  room,16286162,Pat,Bronx,Allerton,40.86814,-73.85874,Private room,47,2,97,2019-06-12,1.81,4,262,Budget
34254505,"2 Bedroom, sleeps 6, Luxury apt, outside of NYC!",254637078,Nicholas,Brooklyn,Greenpoint,40.73339,-73.95271,Entire home/apt,200,1,2,2019-06-23,2.0,1,229,Luxury
28634470,Beautiful Garden Apt in Prime Bushwick,25617559,Erin,Brooklyn,Bushwick,40.7042,-73.9259,Entire home/apt,89,4,6,2019-01-05,0.73,1,0,Mid-Range
7633154,3 bedrms; ideal for 4-5 persons,3672503,Steven,Brooklyn,South Slope,40.66307,-73.9834,Entire home/apt,195,3,84,2019-07-06,1.77,1,18,Mid-Range
21568187,Large Skylight Private Room,131476075,Lakisha,Brooklyn,Bushwick,40.68741,-73.91138,Private room,51,1,19,2019-06-02,0.94,8,175,Budget
710015,"Large room, Outdoor Patio, Great Host, Safe Area!",3136147,Gym Hoodie,Brooklyn,Borough Park,40.63324,-73.99461,Private room,103,3,0,,0.0,1,0,Mid-Range
27554578,Williamsburg Loft Private Bedroom,23635330,Marissa,Brooklyn,Williamsburg,40.71547,-73.94686,Private room,125,2,3,2018-09-13,0.27,1,54,Mid-Range
10050847,"Cozy, Bright room in Williamsburg",51584665,Andrew,Brooklyn,Williamsburg,40.71229,-73.96245,Private room,50,10,3,2016-07-15,0.07,1,0,Budget
6976045,Cozy apt in lively Carroll Gardens,1373836,Carlotta,Brooklyn,Carroll Gardens,40.68151,-73.99285,Entire home/apt,150,5,3,2016-12-27,0.06,1,0,Mid-Range
30558219,Master bedroom w/priv bathroom in heart of BedStuy,1313385,Dania,Brooklyn,Bedford-Stuyvesant,40.68548,-73.93145,Private room,90,3,2,2019-06-17,2.0,1,1,Mid-Range
36001142,Clinton Hill CrashPad Near Subway/Citibike/Pratt,21261408,Jay,Brooklyn,Clinton Hill,40.68783,-73.96061,Shared room,40,1,3,2019-07-06,3.0,6,350,Budget
19123481,Spacious Bohemian Bedroom,133259451,Samantha,Brooklyn,Bedford-Stuyvesant,40.68015,-73.94949,Private room,50,3,2,2017-07-23,0.08,1,0,Budget
18876659,Private House Near Bay and Coney Island Park,131530792,Anton,Brooklyn,Sheepshead Bay,40.59019,-73.96123,Entire home/apt,105,2,22,2018-09-30,0.87,1,0,Mid-Range
7132891,Bohemian & Chic Apartment.,23988743,Rachid,Brooklyn,Bushwick,40.69319,-73.92375,Private room,75,2,22,2019-06-04,0.46,1,362,Budget
34278532,3 Bedroom Loft Like Unit 5 minutes from train,258795923,Saf,Brooklyn,Gravesend,40.59145,-73.98546,Entire home/apt,129,3,4,2019-06-26,3.0,1,167,Mid-Range
36340028,Cozy Private Budget room,226339724,David And Annette,Brooklyn,Bedford-Stuyvesant,40.68111,-73.91294,Private room,40,5,0,,0.0,10,356,Budget
34053030,"Dog Friendly, 1-Bedroom apt, close to subway",250515297,Nikita,Brooklyn,Bedford-Stuyvesant,40.68501,-73.91884,Entire home/apt,75,2,0,,0.0,1,7,Budget
64277,BEDROOM2 FOR RENT  10min from Manh,311286,Helene,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,2019-01-02,0.22,4,189,Budget
21983275,Spacious cozy apartment w/ beautiful backyard!,33978706,Pierre Yves,Brooklyn,Bedford-Stuyvesant,40.69407,-73.94275,Entire home/apt,196,5,4,2019-05-05,0.22,1,3,Mid-Range
19799489,Cozy Retreat on Atlantic Ave,139838320,Bismillah,Brooklyn,Bedford-Stuyvesant,40.67964,-73.94987,Entire home/apt,200,2,36,2019-05-27,1.54,2,124,Luxury
20435636,Stay like a local in Willamsburg/Greenpoint - NYC,63043,Tolga,Brooklyn,Greenpoint,40.72767,-73.95084,Private room,80,5,19,2019-01-21,1.26,1,0,Mid-Range
14065198,Sleek 1BR in the heart of Williamsburg!,27178707,Brian,Brooklyn,Williamsburg,40.71597,-73.95223,Entire home/apt,199,3,2,2016-09-19,0.06,1,0,Mid-Range
13490397,Beautiful Brooklyn Brownstone in Park Slope.,76008109,Ivan And Emily,Brooklyn,South Slope,40.66186,-73.98109,Entire home/apt,129,5,1,2016-07-13,0.03,1,0,Mid-Range
690349,Full 1BR Apartment in Park Slope,3540041,Peter,Brooklyn,South Slope,40.66481,-73.98367,Entire home/apt,179,2,77,2019-06-24,0.97,1,0,Mid-Range
17263207,Brooklyn home.  Comfort and clean. Liguria room.,2787,John,Brooklyn,Bensonhurst,40.60877,-73.97382,Private room,49,1,19,2019-06-08,0.7,6,360,Budget
30209958,Lovely exposed brick room to rent in Williamsburg,27716292,Ianthe,Brooklyn,Williamsburg,40.71225,-73.94961,Private room,50,2,2,2019-07-01,0.92,1,0,Budget
25236588,Brand New Apt Room with Modern Living Room,62533391,Yvonne,Brooklyn,Borough Park,40.63584,-74.00578,Private room,55,1,5,2019-05-19,0.41,7,326,Budget
11910278,Sunny Spacious Crown Heights Studio,174570,Holly,Brooklyn,Crown Heights,40.67807,-73.95913,Entire home/apt,65,4,1,2016-05-22,0.03,1,0,Budget
21625317,Your Private Sunny Studio Apt in Crown Heights,24035151,Daeun,Brooklyn,Crown Heights,40.67577,-73.95751,Entire home/apt,70,3,3,2017-11-13,0.15,1,0,Budget
6921974,Williamsburg Studio,35921273,Andrew,Brooklyn,Williamsburg,40.7173,-73.9532,Entire home/apt,160,1,1,2015-07-14,0.02,1,0,Mid-Range
9645338,Lovely room in prime Crown Heights,14965776,Kyra,Brooklyn,Crown Heights,40.66931,-73.9555,Private room,55,5,5,2017-08-04,0.12,1,0,Budget
21945438,"Bright, Spacious 3 BR Duplex-Great for Families",262862,Helena,Brooklyn,Williamsburg,40.71822,-73.93996,Entire home/apt,250,3,1,2017-12-29,0.05,1,0,Luxury
17302040,Private Room in Bed-Stuy Apartment,89241337,Amy,Brooklyn,Bedford-Stuyvesant,40.68957,-73.9457,Private room,45,1,0,,0.0,1,0,Budget
4628603,Bright and Sunny Williamsburg Oasis,6465286,Masha,Brooklyn,Williamsburg,40.71191,-73.96376,Entire home/apt,180,3,103,2019-06-06,1.92,2,0,Mid-Range
36318888,Cute bedroom in ideal location in Williamsburg,14598000,Daniel,Brooklyn,Williamsburg,40.70928,-73.94066,Private room,59,4,0,,0.0,2,297,Budget
3172212,Spacious room in artist Loft,7351,Tanda,Brooklyn,South Slope,40.66257,-73.98777,Private room,85,2,23,2019-06-10,0.45,3,363,Mid-Range
25288759,Aventurine Bedroom,119669058,Melissa,Brooklyn,Bedford-Stuyvesant,40.69416,-73.95522,Private room,65,2,13,2019-05-20,0.96,34,308,Budget
14237346,Cozy room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,40.67824,-73.96966,Private room,55,1,102,2019-06-27,2.98,13,281,Budget
30175190,Hancock-Brooklyn Hospitality,226688121,Makeba,Brooklyn,Bedford-Stuyvesant,40.68504,-73.91699,Entire home/apt,175,1,16,2019-07-05,3.97,1,9,Mid-Range
29901006,"Spacious, bright apt in the heart of Williamsburg",212328883,Patryk,Brooklyn,Williamsburg,40.71719,-73.95757,Entire home/apt,148,2,39,2019-06-10,5.0,1,34,Mid-Range
31436965,Zen One Bedroom in Greenpoint - easy access to NYC,1698607,Benjamin,Brooklyn,Greenpoint,40.73336,-73.95394,Entire home/apt,92,4,3,2019-05-11,0.66,1,95,Mid-Range
1157036,private spacious sunny bedroom,3696460,Radium,Brooklyn,Kensington,40.63381,-73.9714,Private room,50,30,10,2016-11-30,0.13,1,205,Budget
17117129,LastM & EarlyBirdDiscount! ModernCozy Apt Parkview,114988251,A. Kaylee,Brooklyn,Prospect-Lefferts Gardens,40.65608,-73.96176,Entire home/apt,99,2,26,2019-06-27,2.05,1,272,Mid-Range
6384622,Sunny room right by park!,31752474,Tine,Brooklyn,Prospect-Lefferts Gardens,40.6608,-73.96197,Private room,45,14,9,2017-04-06,0.19,2,0,Budget
34394253,Private bedroom#2 for female in shared housing,233831164,Maki,Brooklyn,Prospect-Lefferts Gardens,40.66005,-73.94216,Private room,40,3,0,,0.0,1,11,Budget
19748676,Shu's home,138579344,Lester And Shirell,Brooklyn,Clinton Hill,40.68895,-73.96259,Entire home/apt,130,2,49,2019-06-21,2.3,1,211,Mid-Range
27836216,Sunny Room in modern building in Bushwick,13098292,Raisa,Brooklyn,Bushwick,40.69961,-73.93138,Private room,55,3,4,2018-09-21,0.39,2,0,Budget
26503507,Brigham Place,199213364,Eeman,Brooklyn,Sheepshead Bay,40.59689,-73.93353,Entire home/apt,83,1,35,2019-06-18,2.91,2,97,Mid-Range
27312987,Bright and spacious room in Bushwick,89589630,Yaw,Brooklyn,Bushwick,40.69629,-73.91351,Private room,50,1,86,2019-06-30,7.7,1,198,Budget
18523918,Peaceful sunny flat with backyard,49562545,Ella,Brooklyn,Williamsburg,40.70999,-73.94807,Entire home/apt,235,1,57,2019-06-27,7.04,2,228,Luxury
13587161,A Quiet Studio Apartment in Bedford-Stuyvesant :),78461025,Doreen,Brooklyn,Bedford-Stuyvesant,40.69123,-73.93599,Private room,120,2,21,2019-01-01,0.59,1,0,Mid-Range
26785111,"1 BR, Williamsburg.",44492422,Florencia,Brooklyn,Williamsburg,40.70918,-73.96135,Private room,73,5,1,2018-11-09,0.12,1,249,Budget
18286212,Clinton Hill's hidden gem,126444590,Anndean,Brooklyn,Clinton Hill,40.68312,-73.9592,Entire home/apt,200,7,9,2019-06-15,0.36,1,269,Luxury
16330110,Stylish & Spacious Apartment,105075484,Bertus,Brooklyn,Canarsie,40.6315,-73.90761,Entire home/apt,117,2,88,2019-06-21,2.85,1,349,Mid-Range
4783809,"Quiet, value & convenience in NYC's best hood!",177846,Alexandra,Brooklyn,Fort Greene,40.68916,-73.977,Entire home/apt,175,4,27,2019-06-22,0.49,2,11,Mid-Range
