total_bill,tip,sex,smoker,day,time,size,day_encoded,tip_percentage,bill_category,total_bill_standard,total_bill_minmax,bill_per_person,is_weekend,size_category
21.58,3.92,Male,No,Sun,Dinner,2,2,18.164967562557923,Medium,0.2019391005751361,0.38772517804775863,10.79,1,Small
10.33,1.67,Female,No,Sun,Dinner,3,2,16.16650532429816,Low,-1.0643609133112126,0.15207373271889402,3.4433333333333334,1,Medium
16.29,3.71,Male,No,Sun,Dinner,3,2,22.774708410067525,Medium,-0.3935033059545337,0.2769166317553414,5.43,1,Medium
16.97,3.5,Female,No,Sun,Dinner,3,2,20.624631703005306,Medium,-0.31696250511518104,0.29116045245077504,5.656666666666666,1,Medium
20.65,3.35,Male,No,Sat,Dinner,3,1,16.222760290556902,Medium,0.09725829942719795,0.3682446585672392,6.883333333333333,1,Medium
17.92,4.08,Male,No,Sat,Dinner,2,1,22.767857142857142,Medium,-0.2100305039425557,0.3110599078341014,8.96,1,Small
20.29,2.75,Female,No,Sat,Dinner,2,1,13.553474618038445,Medium,0.05673669898283484,0.36070381231671556,10.145,1,Small
15.77,2.23,Female,No,Sat,Dinner,2,1,14.140773620798985,Medium,-0.45203450659639155,0.26602429828236274,7.885,1,Small
39.42,7.58,Male,No,Sat,Dinner,4,1,19.228817858954844,High,2.2100095225958003,0.7614160033514872,9.855,1,Medium
19.82,3.18,Male,No,Sat,Dinner,2,1,16.044399596367306,Medium,0.003833498402694168,0.3508588186007541,9.91,1,Small
17.81,2.34,Male,No,Sat,Dinner,4,1,13.138686131386862,Medium,-0.2224121040783337,0.3087557603686636,4.4525,1,Medium
13.37,2.0,Male,No,Sat,Dinner,2,1,14.958863126402393,Low,-0.7221785095588127,0.21575198994553832,6.685,1,Small
12.69,2.0,Male,No,Sat,Dinner,2,1,15.760441292356187,Low,-0.7987193103981653,0.2015081692501047,6.345,1,Small
21.7,4.3,Male,No,Sat,Dinner,2,1,19.81566820276498,Medium,0.21544630072325727,0.3902387934645999,10.85,1,Small
19.65,3.0,Female,No,Sat,Dinner,2,1,15.267175572519085,Medium,-0.015301701807144186,0.3472978634268956,9.825,1,Small
9.55,1.45,Male,No,Sat,Dinner,2,1,15.18324607329843,Low,-1.1521577142739994,0.13573523250942607,4.775,1,Small
18.35,2.5,Male,No,Sat,Dinner,4,1,13.623978201634875,Medium,-0.16162970341178864,0.3200670297444491,4.5875,1,Medium
15.06,3.0,Female,No,Sat,Dinner,2,1,19.9203187250996,Medium,-0.5319521074727743,0.25115207373271886,7.53,1,Small
20.69,2.45,Female,No,Sat,Dinner,4,1,11.841469308844852,Medium,0.10176069947657193,0.369082530372853,5.1725,1,Medium
17.78,3.27,Male,No,Sat,Dinner,2,1,18.391451068616423,Medium,-0.22578890411536368,0.30812735651445333,8.89,1,Small
24.06,3.6,Male,No,Sat,Dinner,3,1,14.962593516209477,Medium,0.4810879036363046,0.4396732299958106,8.02,1,Medium
16.31,2.0,Male,No,Sat,Dinner,3,1,12.262415695892091,Medium,-0.3912521059298469,0.27733556765814826,5.4366666666666665,1,Medium
16.93,3.07,Female,No,Sat,Dinner,3,1,18.13349084465446,Medium,-0.32146490516455467,0.29032258064516125,5.6433333333333335,1,Medium
18.69,2.31,Male,No,Sat,Dinner,3,1,12.359550561797752,Medium,-0.12335930299211233,0.3271889400921659,6.23,1,Medium
31.27,5.0,Male,No,Sat,Dinner,3,1,15.98976654940838,High,1.2926455125359115,0.5906996229576874,10.423333333333334,1,Medium
16.04,2.24,Male,No,Sat,Dinner,3,1,13.965087281795514,Medium,-0.4216433062631192,0.2716799329702555,5.346666666666667,1,Medium
17.46,2.54,Male,No,Sun,Dinner,2,2,14.547537227949597,Medium,-0.2618081045103532,0.30142438206954336,8.73,1,Small
13.94,3.06,Male,No,Sun,Dinner,2,2,21.951219512195124,Low,-0.6580193088552376,0.2276916631755341,6.97,1,Small
9.68,1.32,Male,No,Sun,Dinner,2,2,13.636363636363638,Low,-1.137524914113535,0.1384583158776707,4.84,1,Small
30.4,5.6,Male,No,Sun,Dinner,4,2,18.421052631578945,High,1.1947183114620337,0.5724759111855886,7.6,1,Medium
18.29,3.0,Male,No,Sun,Dinner,2,2,16.402405686167302,Medium,-0.16838330348584943,0.3188102220360285,9.145,1,Small
22.23,5.0,Male,No,Sun,Dinner,2,2,22.492127755285647,Medium,0.2751031013774587,0.401340594888982,11.115,1,Small
32.4,6.0,Male,No,Sun,Dinner,4,2,18.51851851851852,High,1.419838313930718,0.6143695014662757,8.1,1,Medium
28.55,2.05,Male,No,Sun,Dinner,3,2,7.180385288966725,Medium,0.986482309178501,0.533724340175953,9.516666666666667,1,Medium
18.04,3.0,Male,No,Sun,Dinner,2,2,16.629711751662974,Medium,-0.19652330379443494,0.31357352325094257,9.02,1,Small
12.54,2.5,Male,No,Sun,Dinner,2,2,19.936204146730464,Low,-0.8156033105833167,0.1983661499790532,6.27,1,Small
10.29,2.6,Female,No,Sun,Dinner,2,2,25.26724975704568,Low,-1.0688633133605865,0.15123586091328026,5.145,1,Small
34.81,5.2,Female,No,Sun,Dinner,4,2,14.938236139040505,High,1.691107916905483,0.6648512777545036,8.7025,1,Medium
9.94,1.56,Male,No,Sun,Dinner,2,2,15.694164989939638,Low,-1.1082593137926062,0.14390448261416003,4.97,1,Small
25.56,4.34,Male,No,Sun,Dinner,4,2,16.97965571205008,Medium,0.6499279054878179,0.4710934227063259,6.39,1,Medium
19.49,3.51,Male,No,Sun,Dinner,2,2,18.009235505387377,Medium,-0.03331130200463894,0.3439463762044407,9.745,1,Small
38.01,3.0,Male,Yes,Sat,Dinner,4,1,7.892659826361484,High,2.051299920855377,0.7318810222036027,9.5025,1,Medium
26.41,1.5,Female,No,Sat,Dinner,2,1,5.679666792881484,Medium,0.7456039065370088,0.4888981985756179,13.205,1,Small
11.24,1.76,Male,Yes,Sat,Dinner,2,1,15.658362989323843,Low,-0.9619313121879614,0.1711353162966066,5.62,1,Small
48.27,6.73,Male,No,Sat,Dinner,4,1,13.942407292314066,High,3.206165533519728,0.9467951403435274,12.0675,1,Medium
20.29,3.21,Male,Yes,Sat,Dinner,2,1,15.82060128141942,Medium,0.05673669898283484,0.36070381231671556,10.145,1,Small
13.81,2.0,Male,Yes,Sat,Dinner,2,1,14.482259232440258,Low,-0.672652109015702,0.2249685798072895,6.905,1,Small
11.02,1.98,Male,Yes,Sat,Dinner,2,1,17.96733212341198,Low,-0.9866945124595167,0.16652702136573103,5.51,1,Small
18.29,3.76,Male,Yes,Sat,Dinner,4,1,20.55768179332969,Medium,-0.16838330348584943,0.3188102220360285,4.5725,1,Medium
17.59,2.64,Male,No,Sat,Dinner,3,1,15.008527572484368,Medium,-0.24717530434988882,0.30414746543778803,5.863333333333333,1,Medium
20.08,3.15,Male,No,Sat,Dinner,3,1,15.687250996015937,Medium,0.0330990987236229,0.3563049853372433,6.6933333333333325,1,Medium
16.45,2.47,Female,No,Sat,Dinner,2,1,15.01519756838906,Medium,-0.37549370575703894,0.28026811897779635,8.225,1,Small
3.07,1.0,Female,Yes,Sat,Dinner,1,1,32.57328990228013,Low,-1.8815465222725365,0.0,3.07,1,Small
20.23,2.01,Male,No,Sat,Dinner,2,1,9.935739001482945,Medium,0.049983098908774455,0.35944700460829493,10.115,1,Small
15.01,2.09,Male,Yes,Sat,Dinner,2,1,13.924050632911392,Medium,-0.5375801075344916,0.25010473397570165,7.505,1,Small
12.02,1.97,Male,No,Sat,Dinner,2,1,16.38935108153078,Low,-0.8741345112251745,0.18747381650607456,6.01,1,Small
17.07,3.0,Female,No,Sat,Dinner,3,1,17.57469244288225,Medium,-0.3057065049917467,0.29325513196480935,5.69,1,Medium
26.86,3.14,Female,Yes,Sat,Dinner,2,1,11.69024571854058,Medium,0.7962559070924626,0.49832425638877254,13.43,1,Small
25.28,5.0,Female,Yes,Sat,Dinner,2,1,19.77848101265823,Medium,0.6184111051422023,0.46522832006702974,12.64,1,Small
14.73,2.2,Female,No,Sat,Dinner,2,1,14.935505770536322,Low,-0.5690969078801073,0.2442396313364055,7.365,1,Small
10.51,1.25,Male,No,Sat,Dinner,2,1,11.893434823977165,Low,-1.044100113089031,0.15584415584415584,5.255,1,Small
17.92,3.08,Male,Yes,Sat,Dinner,2,1,17.1875,Medium,-0.2100305039425557,0.3110599078341014,8.96,1,Small
27.2,4.0,Male,No,Thur,Lunch,4,3,14.705882352941178,Medium,0.834526307512139,0.5054461667364893,6.8,0,Medium
22.76,3.0,Male,No,Thur,Lunch,2,3,13.181019332161686,Medium,0.3347599020316602,0.4124423963133641,11.38,0,Small
17.29,2.71,Male,No,Thur,Lunch,2,3,15.6737998843262,Medium,-0.2809433047201916,0.2978634268956849,8.645,0,Small
19.44,3.0,Male,Yes,Thur,Lunch,2,3,15.432098765432098,Medium,-0.03893930206635573,0.3428990364474236,9.72,0,Small
16.66,3.4,Male,No,Thur,Lunch,2,3,20.408163265306122,Medium,-0.351856105497827,0.2846669459572685,8.33,0,Small
10.07,1.83,Female,No,Thur,Lunch,1,3,18.17279046673287,Low,-1.0936265136321417,0.1466275659824047,10.07,0,Small
32.68,5.0,Male,Yes,Thur,Lunch,2,3,15.299877600979192,High,1.451355114276334,0.6202346041055719,16.34,0,Small
15.98,2.03,Male,No,Thur,Lunch,2,3,12.703379224030037,Medium,-0.4283969063371796,0.270423125261835,7.99,0,Small
34.83,5.17,Female,No,Thur,Lunch,4,3,14.843525696238874,High,1.6933591169301694,0.6652702136573104,8.7075,0,Medium
13.03,2.0,Male,No,Thur,Lunch,2,3,15.349194167306218,Low,-0.760448909978489,0.2086300795978215,6.515,0,Small
18.28,4.0,Male,No,Thur,Lunch,2,3,21.88183807439825,Medium,-0.16950890349819261,0.31860075408462507,9.14,0,Small
24.71,5.85,Male,No,Thur,Lunch,2,3,23.674625657628486,Medium,0.5542519044386273,0.45328864683703396,12.355,0,Small
21.16,3.0,Male,No,Thur,Lunch,2,3,14.177693761814744,Medium,0.1546639000567126,0.37892752408881436,10.58,0,Small
28.97,3.0,Male,Yes,Fri,Dinner,2,0,10.355540214014498,Medium,1.0337575096969245,0.5425219941348973,14.485,0,Small
22.49,3.5,Male,No,Fri,Dinner,2,0,15.562472209871055,Medium,0.3043687016983874,0.4067867616254712,11.245,0,Small
5.75,1.0,Female,Yes,Fri,Dinner,2,0,17.391304347826086,Low,-1.5798857189644997,0.056137410976120655,2.875,0,Small
16.32,4.3,Female,Yes,Fri,Dinner,2,0,26.348039215686274,Medium,-0.3901265059175033,0.2775450356095517,8.16,0,Small
22.75,3.25,Female,No,Fri,Dinner,2,0,14.285714285714285,Medium,0.3336343020193166,0.41223292836196057,11.375,0,Small
40.17,4.73,Male,Yes,Fri,Dinner,4,0,11.77495643515061,High,2.294429523521557,0.7771260997067448,10.0425,0,Medium
27.28,4.0,Male,Yes,Fri,Dinner,2,0,14.662756598240467,Medium,0.8435311076108866,0.5071219103477168,13.64,0,Small
12.03,1.5,Male,Yes,Fri,Dinner,2,0,12.468827930174564,Low,-0.8730089112128311,0.18768328445747798,6.015,0,Small
21.01,3.0,Male,Yes,Fri,Dinner,2,0,14.27891480247501,Medium,0.13777989987156145,0.37578550481776285,10.505,0,Small
12.46,1.5,Male,No,Fri,Dinner,2,0,12.03852327447833,Low,-0.8246081106820639,0.19669040636782573,6.23,0,Small
11.35,2.5,Female,Yes,Fri,Dinner,2,0,22.026431718061676,Low,-0.9495497120521837,0.1734394637620444,5.675,0,Small
15.38,3.0,Female,Yes,Fri,Dinner,2,0,19.505851755526656,Medium,-0.4959329070777848,0.25785504817762883,7.69,0,Small
44.3,2.5,Female,Yes,Sat,Dinner,3,1,5.643340857787811,High,2.759302328619389,0.8636363636363635,14.766666666666666,1,Medium
22.42,3.48,Female,Yes,Sat,Dinner,2,1,15.521855486173058,Medium,0.29648950161198384,0.4053204859656473,11.21,1,Small
20.92,4.08,Female,No,Sat,Dinner,2,1,19.50286806883365,Medium,0.12764949976047066,0.37390029325513197,10.46,1,Small
15.36,1.64,Male,Yes,Sat,Dinner,2,1,10.677083333333332,Medium,-0.49818410710247185,0.2574361122748219,7.68,1,Small
20.49,4.06,Male,Yes,Sat,Dinner,2,1,19.814543679843826,Medium,0.07924869922970319,0.36489317134478416,10.245,1,Small
25.21,4.29,Male,Yes,Sat,Dinner,2,1,17.017056723522412,Medium,0.6105319050557984,0.4637620444072057,12.605,1,Small
18.24,3.76,Male,No,Sat,Dinner,2,1,20.614035087719298,Medium,-0.1740113035475666,0.3177628822790113,9.12,1,Small
14.31,4.0,Female,Yes,Sat,Dinner,2,1,27.952480782669458,Low,-0.616372108398531,0.23544197737746123,7.155,1,Small
14.0,3.0,Male,No,Sat,Dinner,2,1,21.428571428571427,Low,-0.6512657087811771,0.22894847088395473,7.0,1,Small
7.25,1.0,Female,No,Sat,Dinner,1,1,13.793103448275861,Low,-1.4110457171129864,0.08755760368663595,7.25,1,Small
38.07,4.0,Male,No,Sun,Dinner,3,2,10.506960861570791,High,2.058053520929438,0.7331378299120235,12.69,1,Medium
23.95,2.55,Male,No,Sun,Dinner,2,2,10.647181628392484,Medium,0.46870630350052706,0.4373690825303729,11.975,1,Small
25.71,4.0,Female,No,Sun,Dinner,3,2,15.558148580318942,Medium,0.6668119056729693,0.47423544197737744,8.57,1,Medium
17.31,3.5,Female,No,Sun,Dinner,2,2,20.219526285384173,Medium,-0.27869210469550476,0.29828236279849174,8.655,1,Small
29.93,5.07,Male,No,Sun,Dinner,4,2,16.93952555963916,Medium,1.141815110881893,0.5626309174696271,7.4825,1,Medium
10.65,1.5,Female,No,Thur,Lunch,2,3,14.084507042253522,Low,-1.0283417129162231,0.15877670716380393,5.325,0,Small
12.43,1.8,Female,No,Thur,Lunch,2,3,14.481094127111827,Low,-0.8279849107190942,0.1960620025136154,6.215,0,Small
24.08,2.92,Female,No,Thur,Lunch,4,3,12.12624584717608,Medium,0.4833391036609914,0.44009216589861744,6.02,0,Medium
11.69,2.31,Male,No,Thur,Lunch,2,3,19.760479041916167,Low,-0.9112793116325074,0.1805613741097612,5.845,0,Small
13.42,1.68,Female,No,Thur,Lunch,2,3,12.518628912071533,Low,-0.7165505094970955,0.21679932970255547,6.71,0,Small
14.26,2.5,Male,No,Thur,Lunch,2,3,17.53155680224404,Low,-0.6220001084602481,0.23439463762044407,7.13,0,Small
15.95,2.0,Male,No,Thur,Lunch,2,3,12.539184952978058,Medium,-0.43177370637421,0.2697947214076246,7.975,0,Small
12.48,2.52,Female,No,Thur,Lunch,2,3,20.192307692307693,Low,-0.822356910657377,0.19710934227063262,6.24,0,Small
29.8,4.2,Female,No,Thur,Lunch,6,3,14.093959731543624,Medium,1.1271823107214287,0.5599078341013825,4.966666666666667,0,Large
8.52,1.48,Male,No,Thur,Lunch,2,3,17.370892018779344,Low,-1.268094515545372,0.11416003351487222,4.26,0,Small
14.52,2.0,Female,No,Thur,Lunch,2,3,13.774104683195592,Low,-0.5927345081393192,0.23984080435693336,7.26,0,Small
11.38,2.0,Female,No,Thur,Lunch,2,3,17.57469244288225,Low,-0.9461729120151534,0.17406786761625473,5.69,0,Small
22.82,2.18,Male,No,Thur,Lunch,3,3,9.55302366345311,Medium,0.34151350210572057,0.4136992040217846,7.6066666666666665,0,Medium
19.08,1.5,Male,No,Thur,Lunch,2,3,7.8616352201257875,Medium,-0.07946090251071923,0.33535819019689983,9.54,0,Small
20.27,2.83,Female,No,Thur,Lunch,2,3,13.961519486926493,Medium,0.05448549895814805,0.3602848764139086,10.135,0,Small
11.17,1.5,Female,No,Thur,Lunch,2,3,13.428827215756492,Low,-0.9698105122743653,0.16966904063678256,5.585,0,Small
12.26,2.0,Female,No,Thur,Lunch,2,3,16.31321370309951,Low,-0.8471201109289324,0.192501047339757,6.13,0,Small
18.26,3.25,Female,No,Thur,Lunch,2,3,17.798466593647316,Medium,-0.1717601035228794,0.31818181818181823,9.13,0,Small
8.51,1.25,Female,No,Thur,Lunch,2,3,14.688601645123384,Low,-1.2692201155577154,0.11395056556346878,4.255,0,Small
10.33,2.0,Female,No,Thur,Lunch,2,3,19.36108422071636,Low,-1.0643609133112126,0.15207373271889402,5.165,0,Small
14.15,2.0,Female,No,Thur,Lunch,2,3,14.13427561837456,Low,-0.6343817085960257,0.2320904901550063,7.075,0,Small
16.0,2.0,Male,Yes,Thur,Lunch,2,3,12.5,Medium,-0.4261457063124928,0.2708420611646418,8.0,0,Small
13.16,2.75,Female,No,Thur,Lunch,2,3,20.89665653495441,Low,-0.7458161098180245,0.21135316296606618,6.58,0,Small
17.47,3.5,Female,No,Thur,Lunch,2,3,20.034344590726963,Medium,-0.26068250449801,0.3016338500209468,8.735,0,Small
34.3,6.7,Male,No,Thur,Lunch,6,3,19.533527696793005,High,1.6337023162759678,0.6541684122329283,5.716666666666666,0,Large
41.19,5.0,Male,No,Thur,Lunch,5,3,12.138868657441128,High,2.4092407247805854,0.7984918307498952,8.238,0,Large
27.05,5.0,Female,No,Thur,Lunch,6,3,18.484288354898336,Medium,0.8176423073269878,0.5023041474654378,4.508333333333334,0,Large
16.43,2.3,Female,No,Thur,Lunch,2,3,13.998782714546559,Medium,-0.3777449057817257,0.2798491830749895,8.215,0,Small
8.35,1.5,Female,No,Thur,Lunch,2,3,17.964071856287426,Low,-1.2872297157552102,0.11059907834101382,4.175,0,Small
18.64,1.36,Female,No,Thur,Lunch,3,3,7.296137339055794,Medium,-0.12898730305382952,0.3261416003351487,6.213333333333334,0,Medium
11.87,1.63,Female,No,Thur,Lunch,2,3,13.732097725358045,Low,-0.8910185114103258,0.18433179723502302,5.935,0,Small
9.78,1.73,Male,No,Thur,Lunch,2,3,17.68916155419223,Low,-1.126268913990101,0.14055299539170504,4.89,0,Small
7.51,2.0,Male,No,Thur,Lunch,2,3,26.63115845539281,Low,-1.3817801167920576,0.09300377042312527,3.755,0,Small
14.07,2.5,Male,No,Sun,Dinner,2,2,17.768301350390903,Low,-0.6433865086947731,0.23041474654377878,7.035,1,Small
13.13,2.0,Male,No,Sun,Dinner,2,2,15.232292460015232,Low,-0.7491929098550546,0.21072475911185587,6.565,1,Small
17.26,2.74,Male,No,Sun,Dinner,3,2,15.874855156431053,Medium,-0.2843201047572215,0.29723502304147464,5.753333333333334,1,Medium
24.55,2.0,Male,No,Sun,Dinner,4,2,8.146639511201629,Medium,0.5362423042411325,0.44993715961457903,6.1375,1,Medium
19.77,2.0,Male,No,Sun,Dinner,4,2,10.116337885685383,Medium,-0.0017945016590230187,0.34981147884373687,4.9425,1,Medium
29.85,5.14,Female,No,Sun,Dinner,5,2,17.219430485762143,Medium,1.1328103107831458,0.5609551738583997,5.970000000000001,1,Large
48.17,5.0,Male,No,Sun,Dinner,6,2,10.379904504878555,High,3.194909533396294,0.944700460829493,8.028333333333334,1,Large
25.0,3.75,Female,No,Sun,Dinner,4,2,15.0,Medium,0.5868943047965863,0.45936321742773356,6.25,1,Medium
13.39,2.61,Female,No,Sun,Dinner,2,2,19.49215832710978,Low,-0.7199273095341256,0.2161709258483452,6.695,1,Small
16.49,2.0,Male,No,Sun,Dinner,4,2,12.128562765312312,Medium,-0.3709913057076653,0.28110599078341014,4.1225,1,Medium
21.5,3.5,Male,No,Sun,Dinner,4,2,16.27906976744186,Medium,0.1929343004763889,0.38604943443653117,5.375,1,Medium
12.66,2.5,Male,No,Sun,Dinner,2,2,19.747235387045812,Low,-0.8020961104351955,0.20087976539589444,6.33,1,Small
16.21,2.0,Female,No,Sun,Dinner,3,2,12.338062924120912,Medium,-0.40250810605328086,0.27524088814411396,5.403333333333333,1,Medium
13.81,2.0,Male,No,Sun,Dinner,2,2,14.482259232440258,Low,-0.672652109015702,0.2249685798072895,6.905,1,Small
17.51,3.0,Female,Yes,Sun,Dinner,2,2,17.133066818960593,Medium,-0.25618010444863604,0.30247172182656057,8.755,1,Small
24.52,3.48,Male,No,Sun,Dinner,3,2,14.192495921696574,Medium,0.5328655042041021,0.44930875576036866,8.173333333333334,1,Medium
20.76,2.24,Male,No,Sun,Dinner,2,2,10.789980732177264,Medium,0.10963989956297591,0.37054880603267704,10.38,1,Small
31.71,4.5,Male,No,Sun,Dinner,4,2,14.191106906338694,High,1.3421719130790222,0.5999162128194386,7.9275,1,Medium
10.59,1.61,Female,Yes,Sat,Dinner,2,1,15.203021718602455,Low,-1.0350953129902838,0.1575198994553833,5.295,1,Small
10.63,2.0,Female,Yes,Sat,Dinner,2,1,18.814675446848543,Low,-1.03059291294091,0.15835777126099707,5.315,1,Small
50.81,10.0,Male,Yes,Sat,Dinner,3,1,19.681165124975397,High,3.492067936654957,0.9999999999999999,16.936666666666667,1,Medium
15.81,3.16,Male,Yes,Sat,Dinner,2,1,19.987349778621127,Medium,-0.44753210654701775,0.2668621700879765,7.905,1,Small
7.25,5.15,Male,Yes,Sun,Dinner,2,2,71.0344827586207,Low,-1.4110457171129864,0.08755760368663595,3.625,1,Small
31.85,3.18,Male,Yes,Sun,Dinner,2,2,9.98430141287284,High,1.3579303132518301,0.6028487641390867,15.925,1,Small
16.82,4.0,Male,Yes,Sun,Dinner,2,2,23.781212841854934,Medium,-0.3338465053003322,0.28801843317972353,8.41,1,Small
32.9,3.11,Male,Yes,Sun,Dinner,2,2,9.45288753799392,High,1.476118314547889,0.6248428990364474,16.45,1,Small
17.89,2.0,Male,Yes,Sun,Dinner,2,2,11.179429849077696,Medium,-0.2134073039795861,0.31043150397989105,8.945,1,Small
14.48,2.0,Male,Yes,Sun,Dinner,2,2,13.812154696132598,Low,-0.5972369081886928,0.23900293255131963,7.24,1,Small
9.6,4.0,Female,Yes,Sun,Dinner,2,2,41.66666666666667,Low,-1.1465297142122826,0.13678257226644322,4.8,1,Small
34.63,3.55,Male,Yes,Sun,Dinner,2,2,10.2512272596015,High,1.6708471166833014,0.6610808546292417,17.315,1,Small
34.65,3.68,Male,Yes,Sun,Dinner,4,2,10.620490620490623,High,1.6730983167079878,0.6614997905320485,8.6625,1,Medium
23.33,5.65,Male,Yes,Sun,Dinner,2,2,24.21774539219889,Medium,0.39891910273523484,0.4243820695433598,11.665,1,Small
45.35,3.5,Male,Yes,Sun,Dinner,3,2,7.717750826901875,High,2.877490329915449,0.8856304985337243,15.116666666666667,1,Medium
23.17,6.5,Male,Yes,Sun,Dinner,4,2,28.05351747949935,Medium,0.3809095025377405,0.42103058232090496,5.7925,1,Medium
40.55,3.0,Male,Yes,Sun,Dinner,2,2,7.398273736128237,High,2.3372023239906063,0.7850858818600753,20.275,1,Small
20.69,5.0,Male,No,Sun,Dinner,5,2,24.166263895601737,Medium,0.10176069947657193,0.369082530372853,4.138,1,Large
20.9,3.5,Female,Yes,Sun,Dinner,3,2,16.74641148325359,Medium,0.12539829973578348,0.373481357352325,6.966666666666666,1,Medium
30.46,2.0,Male,Yes,Sun,Dinner,5,2,6.5659881812212735,High,1.2014719115360946,0.5737327188940092,6.0920000000000005,1,Large
18.15,3.5,Female,Yes,Sun,Dinner,3,2,19.28374655647383,Medium,-0.18414170365865737,0.3158776707163804,6.05,1,Medium
23.1,4.0,Male,Yes,Sun,Dinner,3,2,17.316017316017316,Medium,0.3730303024513365,0.4195643066610809,7.7,1,Medium
15.69,1.5,Male,Yes,Sun,Dinner,2,2,9.560229445506693,Medium,-0.46103930669513893,0.26434855467113527,7.845,1,Small
19.81,4.19,Female,Yes,Thur,Lunch,2,3,21.150933871781934,Medium,0.0027078983903505707,0.35064935064935066,9.905,0,Small
28.44,2.56,Male,Yes,Thur,Lunch,2,3,9.0014064697609,Medium,0.9741007090427235,0.5314201927105153,14.22,0,Small
15.48,2.02,Male,Yes,Thur,Lunch,2,3,13.049095607235142,Medium,-0.4846769069543507,0.25994972769166313,7.74,0,Small
16.58,4.0,Male,Yes,Thur,Lunch,2,3,24.12545235223161,Medium,-0.3608609055965746,0.282991202346041,8.29,0,Small
7.56,1.44,Male,No,Thur,Lunch,2,3,19.047619047619047,Low,-1.3761521167303405,0.09405111018014242,3.78,0,Small
10.34,2.0,Male,Yes,Thur,Lunch,2,3,19.342359767891683,Low,-1.0632353132988692,0.15228320067029744,5.17,0,Small
43.11,5.0,Female,Yes,Thur,Lunch,4,3,11.59823706796567,High,2.6253559271505225,0.8387096774193548,10.7775,0,Medium
13.0,2.0,Female,Yes,Thur,Lunch,2,3,15.384615384615385,Low,-0.7638257100155192,0.2080016757436112,6.5,0,Small
13.51,2.0,Male,Yes,Thur,Lunch,2,3,14.803849000740193,Low,-0.7064201093860047,0.2186845412651864,6.755,0,Small
18.71,4.0,Male,Yes,Thur,Lunch,3,3,21.378941742383752,Medium,-0.12110810296742554,0.32760787599497276,6.236666666666667,0,Medium
12.74,2.01,Female,Yes,Thur,Lunch,2,3,15.777080062794347,Low,-0.7930913103364481,0.2025555090071219,6.37,0,Small
13.0,2.0,Female,Yes,Thur,Lunch,2,3,15.384615384615385,Low,-0.7638257100155192,0.2080016757436112,6.5,0,Small
16.4,2.5,Female,Yes,Thur,Lunch,2,3,15.243902439024392,Medium,-0.3811217058187561,0.27922077922077915,8.2,0,Small
20.53,4.0,Male,Yes,Thur,Lunch,4,3,19.48368241597662,Medium,0.08375109927907717,0.36573104315039795,5.1325,0,Medium
16.47,3.23,Female,Yes,Thur,Lunch,3,3,19.611414693381906,Medium,-0.3732425057323521,0.2806870548806032,5.489999999999999,0,Medium
26.59,3.41,Male,Yes,Sat,Dinner,3,1,12.82437006393381,Medium,0.7658647067591904,0.49266862170087977,8.863333333333333,1,Medium
38.73,3.0,Male,Yes,Sat,Dinner,4,1,7.74593338497289,High,2.1323431217441033,0.7469627147046501,9.6825,1,Medium
